COLORADO|Saguache||3.0
COLORADO|Salida||2.0
COLORADO|San Luis||3.0
COLORADO|Sawpit||3.0
COLORADO|Sedgwick||1.0
COLORADO|Seibert||2.0
COLORADO|Severance||3.0
COLORADO|Sheridan||3.5
COLORADO|Silt||3.0
COLORADO|Silver Cliff||2.0
COLORADO|Silver Plume||3.0
COLORADO|Silverthorne||2.0
COLORADO|Simla||4.0
COLORADO|Snowmass Village||3.5
COLORADO|South Fork||2.0
COLORADO|Springfield||2.0
COLORADO|Steamboat Springs||4.5
COLORADO|Sterling||3.0
COLORADO|Stratton ||2.0
COLORADO|Superior||3.46
COLORADO|Telluride||4.5
COLORADO|Thornton||3.75
COLORADO|Timnath ||3.0
COLORADO|Trinidad||4.0
COLORADO|Vail||4.0
COLORADO|Victor||3.0
COLORADO|Walsenburg||3.0
COLORADO|Walsh||3.0
COLORADO|Ward||2.0
COLORADO|Wellington||3.0
COLORADO|Westcliffe||2.0
COLORADO|Westminster||3.85
COLORADO|Wheat Ridge||3.0
COLORADO|Wiggins||2.0
COLORADO|Windsor||3.2
COLORADO|Winter Park||5.0
COLORADO|Woodland Park||3.0
COLORADO|Wray||2.5
COLORADO|Yampa||2.0
COLORADO|Yuma||3.0
